,summonerId,champion,champion level,champion points
48,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,35,6,76559
49,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,7,6,75311
50,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,54,5,73882
51,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,11,6,70934
52,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,89,6,68992
53,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,67,6,68920
54,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,31,6,65935
55,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,105,6,63525
56,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,516,6,60846
57,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,77,6,56756
58,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,238,6,52855
59,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,23,6,50859
60,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,412,6,49831
61,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,21,6,49160
62,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,122,6,47981
63,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,240,6,46021
64,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,63,5,45105
65,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,51,5,44686
66,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,236,5,43328
67,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,18,5,42338
68,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,22,5,37456
69,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,121,6,36683
70,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,203,5,35581
71,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,106,6,33438
72,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,99,6,33173
73,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,96,5,32842
74,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,55,5,32749
75,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,104,5,29523
76,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,119,5,29070
77,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,5,6,26812
78,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,19,5,26558
79,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,14,5,26460
80,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,91,5,26145
81,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,245,5,25001
82,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,33,4,21119
83,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,64,4,20372
84,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,223,4,19097
85,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,24,4,18969
86,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,111,4,18874
87,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,143,4,18373
88,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,254,4,18331
89,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,120,4,18103
90,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,12,4,18084
91,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,102,4,18078
92,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,30,4,17984
93,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,28,4,16757
94,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,39,4,16668
95,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,2,4,16264
96,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,115,4,15425
97,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,429,4,14697
98,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,61,4,14488
99,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,235,4,13552
100,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,16,4,13224
101,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,25,4,12959
102,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,20,4,12866
103,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,110,3,12172
104,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,9,3,11825
105,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,133,3,11333
106,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,101,3,11122
107,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,1,3,10972
108,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,8,3,10806
109,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,154,3,10236
110,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,37,3,8828
111,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,4,3,8143
112,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,15,3,8065
113,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,80,3,8031
114,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,38,3,7879
115,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,266,3,6871
116,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,27,3,6439
117,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,48,3,6035
118,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,432,3,6014
119,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,74,2,5585
120,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,34,2,5412
121,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,42,2,5010
122,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,164,2,4854
123,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,36,2,4764
124,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,57,2,3372
125,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,56,2,3328
126,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,84,2,3317
127,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,142,2,3024
128,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,76,2,2977
129,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,10,2,2580
130,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,134,2,2541
131,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,62,2,2533
132,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,58,2,2501
133,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,420,2,2442
134,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,517,2,2422
135,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,114,2,2146
136,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,555,2,2127
137,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,40,2,2081
138,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,68,2,1910
139,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,161,2,1887
140,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,131,2,1861
141,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,13,1,1716
142,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,201,1,1711
143,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,98,1,1599
144,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,44,1,1451
145,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,103,1,1408
146,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,92,1,1396
147,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,6,1,1165
148,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,72,1,1101
149,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,85,1,1085
150,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,141,1,1057
151,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,113,1,1019
152,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,79,1,820
153,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,78,1,819
154,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,43,1,758
155,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,421,1,700
156,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,26,1,653
157,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,497,1,559
158,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,127,1,381
159,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,90,1,372
160,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,163,1,357
161,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,126,1,339
162,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,523,1,319
163,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,350,1,254
164,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,3,1,254
165,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,117,1,245
166,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,60,1,232
167,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,246,1,226
168,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,268,1,176
169,LOppeSm2PpxPiTZxXm2WktaeaExocCHRfq3qArr3m2DhXmE,267,1,105
170,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,35,7,297004
171,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,412,7,222194
172,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,64,7,192769
173,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,236,7,119415
174,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,555,7,116670
175,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,245,7,113677
176,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,11,7,106592
177,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,202,7,103617
178,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,81,7,102277
179,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,51,7,92298
180,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,141,6,79987
181,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,497,7,74608
182,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,111,7,64546
183,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,29,7,61498
184,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,119,6,58585
185,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,105,5,50134
186,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,20,7,44869
187,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,121,6,44610
188,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,89,6,39630
189,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,17,6,38757
190,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,79,6,38594
191,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,24,6,35998
192,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,56,6,34003
193,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,432,6,33895
194,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,429,5,33784
195,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,9,6,33634
196,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,18,6,30109
197,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,427,5,29787
198,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,875,6,29121
199,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,254,5,26153
200,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,67,5,25513
201,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,104,5,25433
202,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,19,5,24112
203,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,154,5,23104
204,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,2,5,22451
205,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,107,5,21729
206,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,48,5,21647
207,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,53,4,21475
208,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,12,4,20456
209,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,421,4,19497
210,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,77,4,19110
211,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,102,4,18892
212,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,32,4,18185
213,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,517,4,17477
214,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,157,4,17264
215,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,27,4,16681
216,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,222,4,16588
217,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,61,4,16032
218,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,54,4,15774
219,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,223,4,15379
220,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,145,4,15332
221,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,96,4,15210
222,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,45,4,14952
223,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,68,4,14948
224,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,112,4,14887
225,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,42,4,14512
226,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,90,4,14265
227,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,240,4,13775
228,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,268,4,13413
229,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,40,4,13046
230,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,98,4,13014
231,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,120,4,12665
232,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,63,3,12511
233,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,72,3,12414
234,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,103,3,12408
235,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,28,3,12193
236,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,106,3,11135
237,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,15,3,11123
238,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,4,3,10794
239,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,10,3,10519
240,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,41,3,9820
241,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,21,3,9726
242,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,134,3,9606
243,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,3,3,8985
244,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,203,3,8907
245,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,518,3,8783
246,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,76,3,8445
247,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,150,3,8286
248,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,22,3,8027
249,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,131,3,7944
250,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,201,3,7638
251,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,57,3,7578
252,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,238,3,7303
253,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,114,3,7228
254,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,85,3,7205
255,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,30,3,7160
256,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,235,3,6998
257,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,33,3,6860
258,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,25,3,6822
259,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,110,3,6654
260,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,16,3,6467
261,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,115,3,6288
262,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,498,3,6154
263,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,113,3,6004
264,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,44,2,5877
265,11hdO8uXLwrilu5ABHjShAkRG06pJvUyegCgDTtkm28zuoQ,143,2,5802
