,name,id,account ID,puuid
21,NoWoWFreeWin,9fgIZsOKxnhjNF6DyBkySPu1ZvXwbuIbWinxInI85pPWrBQ,f2Zsm52tgn0MjXu1cNkpY7Zf34bIOa90tIm-YanjaUZnZw,5uXSFjCdV81umKEf8RJfzCpSitHtK5H7fJviCnOQdSIXlmJSCk8VA6zpHcFB47EC4OKrpD5Ykrv3hQ
22,Jankos,snOQO54s3-8sF7cxUOsJX3n3bbiqjyMbDeLZlGaziPWTFkw,QkkRqdHyg5b1g_CaUJTUyRZSJWd5mclc1DX4XG6Lc9BHA5k,128GutWzcvP0yVfPbjTJkdC9H7wJemTUyyBQU6wKajvJycFLIo0EbJs5bQwIMuDDItm-aKbvbxYYiw
23,Caps,PK7GbtYKOe9RiIJn56pDnDT_5QzCTAbxbr2V7sknY8jVFDAgR2pEzz_7Gg,if8wXjjTtlgRu16KtTWO7K0JvIeM-Gp28r1zxKbljmAyhBxuEhF8FFf0,SYwLm4audYrjFU6mxmqXXi_cfAzHXwCQddKVqU2WJGemAb7BEFeda8HiXOqrDhdXKkLzbCoG5K9Vlg
24,Rekkles,CMLH2lh8sQ5PVh0sgodKeKvYh4Zt7h3bFMSpIs7zSXgC0Lc,kATW08iCMSLDrxgQPHv1FKBOqGmtnJY_TyjNr8rhL40vgak,1wVlVjE1faeoU0WvoroLoP91dsIXECT4dwMIlPwHk4GzC4GnFrOTSyERcGKPLi5GoRy3dotdgfAEEw
25,Mikyx,u8eLnfRj0KSmXqp_-gL-rOZ6FoyAmAuIw72yzbAo8p8YoX0,A0i7zsy0KXsmX98bAICC2x7aBHiyL0fqQYH7Bba3uoiNsog,2sjNwU-vW7ppOd9VcJMwe1nHJ9LzlCHAnc_WRhN7BmOq53dOz05ETSwdpfpsnySVWB3c6iVlwNacOA
26,Armut,jnLl_gaPvJ_p6E6xM-uZ0oYTJSB9ozWvTz8Fc_OHX0X0BzOs,JyrhAFSwqle0IqjbZe6A9Au5eTvgZeC1I4T3fy-BczdyTIVCTsH7yvxO,M4Im9eM75pikozklveax0uNoPGcgB8MqJk3As8CkxXTD3pKklw1_LO4_XWc41skBzjQQeKCOO-k-sQ
27,Carzzy,PMjpdO4pSkQndzstDKmTVh_qkGXxdZTO1RjJk7sbrFrY0zue,pAUgu-SezFBdCxxbTRjoorgNrQFqEnmKG2HgCtzqoq5wbZLnByppiIo3,xzY0WSPTnHXG3AGYNoWt0Ehy-3bUnfw9eZePzUzd2Q9pXPlhtv4RCc-RSLW6CnZs3Q9U1RYt4UHDLw
28,Elyoya,8Wq6FtinA6RWTygHypTUHjFroIO19MFakCBRIDCpjkY-3VFb,qBxTQPj4BDC4JlYHMQ2kHn41oabOiVKTgUY8quL-6jynroc2_DRuP1S0,VnP2t3SaTtSwNJlLBk0wnNKArdHQ-9ylhRkDkkq2HPWHJG1CDJm_jf6-pYEQbPBVzM3pVKEPcuKdtg
29,Humanoid,_-z3sOrIqMsNBCGzr6vmAMuJr2k6TjpwnZJCZnhXDV9gVvr-,Z8FsTnwdulnxxcNqJWsLpfFIUPuJT7yJ0qsS3jWBMP1-LH3NqaOJg2Sr,WzelQ70eKQyDw2dihLnHsSmzF9XzkM25lRrDorikPOFbibO1TtoeFg4BDc_tetsPf2OxnyYT3ZMxLQ
30,Kaiser,GzLZNmTFjO71ZfqMsOxujerS1MuGcG0YoRVz2OUp6kJTK2UneE_0Qso-Ew,itX8TXW7NR-_xDhn6v_b4MAjr8HE5DbIfxDfsArltz53SCGldJkhyanz,Zkwro0hIqWMMH_QLDyyrHpePhGMLbote-hOo5Z4hHmGnre5cgKQp070apdNOtAktRy43nb9bKSeo9g
31,HiRit,koSChYSsQFHOD7wM1qFbG5C5AE69KxGPfyT1mKXqQkNIo2wH,oXx8yotit181eWgsAP-6t0Hxq-LtW_iaGhwKbUGuM_FDfHTA02CS2gYt,1Mnvfd4NIKa9Y_r4yq0HypWTEhPza6JRyVkokQS6Wloiww7WL47H0ge22sWubhEgIxYM81Li0ZtsEw
32,Kobee,CjlIZxINliKwyHNx_nKi0-lEcCxP6f7Mjjjw5N73bct6fwQ,o8pO2KZo2ENHnZ8O0jJVy1E3cdO9ACJvv26G1--5aGk3Ew,qAtWckplG_S2oa-rEml-HAHmSx3T6dENj6jtxFjuT_YnGrbnIDBLa29Y5ouZB-c0De5plfp-A_sEZQ
33,Razork,EVIwMLyZSLoyxphv0IAX3H0Wux5tey_lWrFQhU9GN48Kf9Y,lSXSXYijmFDITQU0oq7Tp3is1sAfIy4DVGfQnTAa0kqF7A,TG7njaNVhhVifyr_IW2IOiiW524gXCCZZsX0dEcWYahs5VMph-3pxKR86habM1x-9xtDWlWNNbsBhw
34,Vander,pUmTQLxEvydxzX3fBEdpeneE0wYQiR-rm-95oFokhxOzP3w,I5QPDD0Ac2KVQZ0LwAILB84IGrtL_PferGaYf7mRff7LlmQ,r0HdQ3CrKxp4KL1MQLkG5knC9g5yKyZchCLmS2X0WfuQeu3sudIK013REeIpxkzzBT6glFJq750pnQ
35,Vetheo,x5SNCsAXOh-_urve1L_zFzkF7sMaTvqKvl1M-7aY2-9-i_E,VNsTIb0UybmEyVeG_gwuE0wZfVM4RQWYSPrgnCpXKWXAfGM,cVE4SxiY1oOd2rlgVFXFchNGRWZs1gVH4GJzAlzGX4Ohj3Z89ii6rq0JdsMJvpnD1UjkQX_3U0XWDA
36,Hans Sama,qokquEi1HYDOxER49bDI7cS3vwI_OTXw5ldrPY3kQ1hdePw,BqSewgzIhgPKWrJvpE_7OIcG0J4Um_h2v1g_aQqWm31yswA,gWV45WinWusamqOpApS2GSWvVLJ4zYtAqWv-lJVHZuduMD3-jTYr9f7_oIVjYpvs67faBGaX8b2zkQ
37,Inspired,bxAkVAnHC-Dci2zKjt2ffFkhOuMBDDFeEaaGFXnM8f-r,g5Jru4joNKg6ojoeh_3TamacsfvLcdNcWdauRYEZf9A,0_5MUL_2dK5XdtRJSf6Un2uk-KrrEXbUGtroF8RPP8yK6hpwQiszHf65AuuYQYdyZkyFLr2LtBAJ4g
38,Larssen,ieUnAtBFoE8RC45p8UZ6TrtN70xuQmAUGtsuJerypZ4TTv7L,BFaFzgl8RUP88n4D2kaxuU2-jYaPvlUh7FfJpAA6tILXkgorJ08WW5yG,uY5zPrQZx5A-zzhP9GM6Lkmld41-2E5IJGZi6bx6spFpJB2g01ArzI4lnDhpvP59k-stUpGmHzWGCQ
39,Odoamne,ylzXF7bQtZOdKaZ_HIUhk3YtHHc9-YKRiwEIQQQJbicZ1lk,8YZ9R3-UfELSJuez0o0PglZEgaXCsKwtBW0L-4Oa575jeg,sWICAfbPlXos5V71swH9Nt16c9h7CXh2TRmAkFJKqIO6uV0pgSTO3vu8tf4yIqZVECYzINgpap5rAw
40,Trymbi,h-QTEm-5ogh0YCfDOf8L4KJnsk-aP5_LYGV9Hfzht8U8p9VYY6TOlbAdlw,ZZKkBReLUPh2E6AEKL6thh-Mo8NDott7OCyCGo2oCVbH9h1HHRt9rnDJ,xk0-cnOsCG7OVjFGvQq9gx6EFI1kAgHIwhZvxN8O1_f-ea8XPtI_63MNa5pfwJernZcqgF-TTssN5Q
41,Blue,5dFgBN4LlwpYqXCENDaEXvcD4ggaVoumrPVOroFUf_OGDZk,WdbZsdSquKx2U-56U9qGUZrl-T5jgM0KU_kzyQ1elUIdhw,qSEJDb0biATE13_okX3Cd478EqTDSkmWcl4uYzL27QjH8oPOWFmoKi8NfAD0Ft3Llpu5A-U172qxAg
42,Liantiao Jenax,F0Y32dwozM_g9pOAQ0-bRyh5lFinmWGagsuID05JeFfVUVQ,g6waCr1OfGHdCOQtWulH1zPJzhuQvo3680RV_p3qLZvpYw,Ag1T1MBaVQeDcZmEI4u2ud__B9UPtpaf8m0aeRDT1za6sMlwh-IT0UpfVvg6VBAmN5qVcyQp74WjmA
43,Jezu,X1s7tk4PqoO8z99j_VpgyxIlD59F2Pa-DzCqfuGYnuz8sCfX,XjWwMszxRT2uqbWTuOWYmalbs4u0ZHCeUxh2oMWZuLFhQuVPMBVgLMx7,xjlTr0BYIvvcZZugYbQRyHNON2FBELFsJrM-3-f58-qFkxzJ5vIDV7qGST35MHFWADXcYp8Px-JI3w
44,Treatz,HkEkESXb2INPwKOJGYU2WcceJ3PXzbJmKpXijSPTp8tfnTw,-uXNbMGMC5npsYxbODsernbiMimOJpYp-Werv9hSJFA9Cdc,EKSsd2VsbVuVICEvt_bVNk2XHGjAYMfSejymZFGcvtOWqjcCDAdMsaGzQQabvC9VwJI09Rw0_GbCGw
45,TynX,i6TkhNTptRP3VDufU_uOsYx6YLAanBpNKPmFsjc3cb8ik9w,dNPdgyOsx3a_R_2trr4RKK7s6qguf6xWxAU6cknVZc53BPs,S-Vw-sSNzdFxKL25NyRsw8knU772ikHor8va_ljL6YgMaI0jMCZi1BACBjuY6wEMzzineSqgBgLz4w
46,Labrov,i6TkhNTptRP3VDufU_uOsYx6YLAanBpNKPmFsjc3cb8ik9w,dNPdgyOsx3a_R_2trr4RKK7s6qguf6xWxAU6cknVZc53BPs,S-Vw-sSNzdFxKL25NyRsw8knU772ikHor8va_ljL6YgMaI0jMCZi1BACBjuY6wEMzzineSqgBgLz4w
47,Milicaaaa,brhYjW6bkhpj5Xk_QNMU9gtSkC_T3Oc-eZ7zkkz7PdeX8rA,JM78PN-V3NeVvWsIzLEhC1cH0wYa1SsmzQRxL0wNGyDkQg,_zC84o9W1C5dw0P6BMFsOCH9VScji4olFHoAzje1ujcGUqr47PisgwjLbiwsyhe-g8nV71JO5F9oFA
48,Skeanz,cGEfAMZIElwiZt-QUt7i93l2Oi0Z7wx9lKeH6fx9r_Kr_S9r,GesUDxnhURrab36C1tURYXtDpHOL9BuPLUmyjCJwA4CFh6rqY4gM2I7j,F-2lr6pNrwWd6xd6_r2Xq_uaNJiPu8jHYS24zA6wDlHwWVF_wpODrhZD8RLRjO2EKAnSxDDulKwz-Q
49,Szygenda,O9qCatDeICm9m7ctinRgXnS9nRVw64Af5_cUPxFVcLHVCJI,bYX8erDYt7TSD1IpsKzSaSqrUofAONxyb0aWRs6K6jwtG7I,QSmKi4H0UYO-TUoYhnDiNlBdvaE0sn6K4vKf4jwXJdhRORtxqM1cn-XB6ZSDhV2qxCXduiZaONvDpw
50,Crownshot,ejz3L4LkBhwlrHbcbmMNjmB09ht6wwbalJ043rNjWpOsthVk,3HY5TBIvhGF_eTkX5OivENBncohaTu6AyRCoo3BBZFT-yIKbAq4q9dtE,xtAoSpjrEPgHIgvWUO-11l-EPt1TPJiuguC2ifrqMvgomIICVwylU5_qd8T-WgDyCA0sk5UM4h8x6Q
51,Comp,e9IpwAb-S30GSk3--yKiram7cK5eQb1-aiaF_t9X-xzQCEw,jCbaHgV3IsDif0vwIw5JxfYXiHQM4jCeKJDUPlrzUhIU6w,0Lwdn5IdPreYpQyHG1tQuFLl9PwjV59jxHMYpUIYm2DWn3Y87k8C0Kky43TrGdNB2nKoWbrywinqnA
